Descriptor	Definition	Example	Format	Cardinality	Source	Comments	ISA Entity	ISA Field	Further description	FAANG Title
traitEntityNumber	The accession number of the trait entity in a suitable controlled vocabulary (Plant Ontology).	https://biodivportal.gfbio.org/ontologies/ATOL/ATOL_0005571	Term from Ontology or thesaurus	0-1	Plant	To be discussed: doesn't apply.				
traitCharacteristic	The characteristics that are measured. It can be a morphological characteristic (size, volume, surface), a molecular characteristic (sugar concentration), etc.	size; trigs	Free text	0-1	Plant	trait being quantified; Trigs (mg/dL)				
traitCharacteristicNumber	The number of the trait characteristic in a suitable controlled vocabulary (PATO - the Phenotype And Trait Ontology). A placeholder for further adaptation of the checklist.		Term from Ontology or thesaurus	0-1	Plant	To be discussed: doesn't apply.				
traitNumber	An accession number of the trait in a suitable controlled vocabulary. A placeholder for further adaptation of the checklist.		Term from Ontology or thesaurus	0-1	Plant					
methodName	The name of the method of the observation. 	estimation of aggressiveness	Free text	0-1	Plant					
methodNumber	The accession number of the method in a suitable controlled vocabulary. A placeholder for further adaption of the checklist.		Term from Ontology or thesaurus	0-1	Plant	To be discussed: doesnt apply				
methodDesc	A textual description of the method, which may extend a method defined in an external reference with specific parameters, e.g. aggressiveness levels.	aggressiveness levels	Free text	0-1	Plant	Lab animal SOP? Like IACUC, The Guide. Comment: SOPs are now in the study protocol separated.				
methodRef	A URI/DOI of the reference describing the method.	dx.doi.org/10.17504/protocols.io.6qpvr4nr3gmk/v1 https://research.ucdavis.edu/wp-content/uploads/IACUC-31.pdf	URI or DOI	0-1	Plant	IACUC-31; https://research.ucdavis.edu/wp-content/uploads/IACUC-31.pdf 				
scaleName	The name of the scale associated with the variable.	cm; qualitative: short, medium, large	Free text	0-1	Plant	Comment: For plants, there is the possibility to differentiate between measurements and estimations (in the method). Therefore, in the scale entity, there should also be a "class" like whether it is a nominal or an ordinal value, but this is missing here (normally it is associated with the crop ontology).				
scaleNumber	The accession number of the scale in a suitable controlled vocabulary. A placeholder for further adaptation of the checklist.		Term from Ontology or thesaurus	0-1	Plant					
timeScale	The name of the scale or unit of time with which observations of this type were recorded in the data file (for time series studies), e.g. daily measurement.	volume milk/day		0-1	Plant					
STANDARD OPERATION PROCEDURE				1+ per study						
SOPname	The name of the procedure.	Imagaging; death of animal; measurement X	Free text	1	Own_construction					
SOPtype	The kind of procedure, e.g. in vitro, in vivo, sample processing protocol, data processing protocol or DNA extraction protocol.	Imaging protocol for mice	term of ontology/controlled vocabulary	0-1	Own_construction	Plants have made their own ontology https://bioregistry.io/registry/dpbo, maybe need our own vocabulary. 				
SOPdescription	The description of the protocol.	For the imaging of the whole mouse, the mouse needs to be sedated and put into a CT scanner.	Free text	1	Own_construction					
SOP_URI	An external link to the SOP in human readable format.	protocols.io 	URI or DOI	0-1	Own_construction					
SOPversion	The version of the protocol.	2.0	semantic version	0-1	Own_construction					
SOPparameter	The parameters that need to be defined for each procedure.	body temperature (as an example for a dead animal) Illumination time Resolution Duration in CT Number images  Location of camera 	Free text	0+	Own_construction					
SOPcomponent	The description of the technical equipment and software used as well. 	Camera manufacturer: Nikon Camera model Camera type: infrared	Name and ontology term (if available)	0+	Own_construction					
